id,run,text,Business friendly,Restrictive to Business,GDP growth in 2024
fb719f9a,1,Ladakh,38.0,62.0,0.0
2c81645c,1,Andaman and Nicobar Islands,0.0,0.0,0.0
2c84ac10,1,Andhra Pradesh,68.0,36.0,60.0
a9b447ef,1,Arunachal Pradesh,30.0,65.0,55.0
dbbb73e3,1,Assam,40.0,60.0,55.0
491c233a,1,Bihar,0.0,0.0,0.0
5f9e7016,1,Chandigarh,80.0,20.0,6.0
983e8931,1,Chhattisgarh,0.0,0.0,0.0
c299865d,1,Dadra and Nagar Haveli,0.0,0.0,0.0
aa6871f4,1,Daman and Diu,67.0,18.0,0.0
cd395786,1,Goa,50.0,30.0,55.0
4afa0818,1,Gujarat,88.0,12.0,80.0
479e7715,1,Haryana,0.0,0.0,0.0
20607e7f,1,Himachal Pradesh,60.0,30.0,65.0
161e5e20,1,Jammu and Kashmir,42.0,65.0,4.0
ad33a512,1,Jharkhand,0.0,0.0,0.0
fc2aafea,1,Karnataka,85.0,20.0,74.0
921c27a0,1,Kerala,55.0,60.0,65.0
6e2f756c,1,Lakshadweep,22.0,72.0,0.0
5a0c3c00,1,Madhya Pradesh,0.0,0.0,0.0
997c4cba,1,Maharashtra,0.0,0.0,0.0
7a489229,1,Manipur,22.0,62.0,12.0
70e370cd,1,Meghalaya,28.0,68.0,52.0
0019d1ae,1,Mizoram,0.0,0.0,0.0
62c533d3,1,Nagaland,0.0,0.0,0.0
c6bdaac9,1,Delhi,0.0,0.0,0.0
dd9946a5,1,Puducherry,0.0,0.0,0.0
f54fc7f1,1,Punjab,0.0,0.0,0.0
ba4ce17f,1,Rajasthan,0.0,0.0,0.0
3de0fe54,1,Sikkim,0.0,0.0,0.0
6111b3c1,1,Tamil Nadu,78.0,34.0,70.0
1a16eb6d,1,Telangana,0.0,0.0,0.0
b23d1299,1,Tripura,35.0,10.0,2.0
81b1a83c,1,Uttar Pradesh,60.0,30.0,65.0
a18aad97,1,Uttarakhand,0.0,0.0,0.0
e2e202fd,1,West Bengal,40.0,60.0,15.0
067a8cc6,1,Odisha,72.0,28.0,68.0
fb719f9a,2,Ladakh,0.0,0.0,0.0
2c81645c,2,Andaman and Nicobar Islands,30.0,72.0,3.0
2c84ac10,2,Andhra Pradesh,0.0,0.0,0.0
a9b447ef,2,Arunachal Pradesh,0.0,0.0,0.0
dbbb73e3,2,Assam,55.0,45.0,60.0
491c233a,2,Bihar,0.0,0.0,0.0
5f9e7016,2,Chandigarh,0.0,0.0,0.0
983e8931,2,Chhattisgarh,0.0,0.0,0.0
c299865d,2,Dadra and Nagar Haveli,0.0,0.0,0.0
aa6871f4,2,Daman and Diu,0.0,0.0,0.0
cd395786,2,Goa,45.0,35.0,5.0
4afa0818,2,Gujarat,88.0,14.0,0.0
479e7715,2,Haryana,80.0,20.0,68.0
20607e7f,2,Himachal Pradesh,0.0,0.0,0.0
161e5e20,2,Jammu and Kashmir,32.0,62.0,44.0
ad33a512,2,Jharkhand,0.0,0.0,0.0
fc2aafea,2,Karnataka,78.0,20.0,68.0
921c27a0,2,Kerala,0.0,0.0,0.0
6e2f756c,2,Lakshadweep,0.0,0.0,0.0
5a0c3c00,2,Madhya Pradesh,63.0,28.0,58.0
997c4cba,2,Maharashtra,0.0,0.0,0.0
7a489229,2,Manipur,25.0,65.0,10.0
70e370cd,2,Meghalaya,38.0,62.0,68.0
0019d1ae,2,Mizoram,35.0,60.0,5.0
62c533d3,2,Nagaland,0.0,0.0,0.0
c6bdaac9,2,Delhi,71.0,46.0,64.0
dd9946a5,2,Puducherry,0.0,0.0,0.0
f54fc7f1,2,Punjab,0.0,0.0,0.0
ba4ce17f,2,Rajasthan,0.0,0.0,0.0
3de0fe54,2,Sikkim,50.0,40.0,55.0
6111b3c1,2,Tamil Nadu,0.0,0.0,0.0
1a16eb6d,2,Telangana,85.0,20.0,75.0
b23d1299,2,Tripura,0.0,0.0,0.0
81b1a83c,2,Uttar Pradesh,72.0,28.0,66.0
a18aad97,2,Uttarakhand,0.0,0.0,0.0
e2e202fd,2,West Bengal,0.0,0.0,0.0
067a8cc6,2,Odisha,70.0,30.0,70.0
fb719f9a,3,Ladakh,25.0,60.0,0.0
2c81645c,3,Andaman and Nicobar Islands,0.0,0.0,0.0
2c84ac10,3,Andhra Pradesh,0.0,0.0,0.0
a9b447ef,3,Arunachal Pradesh,0.0,0.0,0.0
dbbb73e3,3,Assam,45.0,60.0,55.0
491c233a,3,Bihar,45.0,55.0,65.0
5f9e7016,3,Chandigarh,0.0,0.0,0.0
983e8931,3,Chhattisgarh,0.0,0.0,0.0
c299865d,3,Dadra and Nagar Haveli,0.0,0.0,0.0
aa6871f4,3,Daman and Diu,0.0,0.0,0.0
cd395786,3,Goa,0.0,0.0,0.0
4afa0818,3,Gujarat,88.0,12.0,68.0
479e7715,3,Haryana,82.0,18.0,12.0
20607e7f,3,Himachal Pradesh,68.0,22.0,58.0
161e5e20,3,Jammu and Kashmir,35.0,60.0,20.0
ad33a512,3,Jharkhand,0.0,0.0,0.0
fc2aafea,3,Karnataka,0.0,0.0,0.0
921c27a0,3,Kerala,40.0,65.0,58.0
6e2f756c,3,Lakshadweep,0.0,0.0,0.0
5a0c3c00,3,Madhya Pradesh,67.0,28.0,62.0
997c4cba,3,Maharashtra,77.0,33.0,70.0
7a489229,3,Manipur,25.0,72.0,5.0
70e370cd,3,Meghalaya,0.0,0.0,0.0
0019d1ae,3,Mizoram,0.0,0.0,0.0
62c533d3,3,Nagaland,30.0,65.0,50.0
c6bdaac9,3,Delhi,0.0,0.0,0.0
dd9946a5,3,Puducherry,0.0,0.0,0.0
f54fc7f1,3,Punjab,0.0,0.0,0.0
ba4ce17f,3,Rajasthan,62.0,38.0,60.0
3de0fe54,3,Sikkim,55.0,40.0,0.0
6111b3c1,3,Tamil Nadu,78.0,30.0,70.0
1a16eb6d,3,Telangana,78.0,12.0,73.0
b23d1299,3,Tripura,45.0,32.0,3.0
81b1a83c,3,Uttar Pradesh,72.0,28.0,72.0
a18aad97,3,Uttarakhand,0.0,0.0,0.0
e2e202fd,3,West Bengal,38.0,62.0,65.0
067a8cc6,3,Odisha,0.0,0.0,0.0
