Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
a18aad97_batch0,"[""{\n\t\""GDP growth in 2024\"": 0,\n\t\""Business friendly\"": 0,\n\t\""Restrictive to Business\"": 0\n}""]",,2.8296380043029785,499,192,266,,[],['resp_0c2a36b40252d9f60069abbabe4f8c8193b48ffd114831aa2f'],True
ad33a512_batch0,"[""{\n\t\""Business friendly\"": 0,\n\t\""Restrictive to Business\"": 0,\n\t\""GDP growth in 2024\"": 0\n}""]",,2.866258144378662,497,192,267,,[],['resp_03fdb3b9b446c1c10069abbabe4dbc819682967d422ddc4ca5'],True
0019d1ae_batch0,"[""{\n\t\""GDP growth in 2024\"": 0,\n\t\""Business friendly\"": 0,\n\t\""Restrictive to Business\"": 0\n}""]",,3.5545129776000977,496,320,395,,[],['resp_0ffe21692d99fbc00069abbabe4f4c8193a39e05359dfa164c'],True
c299865d_batch0,"[""{\n\t\""GDP growth in 2024\"": 0,\n\t\""Restrictive to Business\"": 0,\n\t\""Business friendly\"": 0\n}""]",,3.554771900177002,506,320,393,,[],['resp_03cb2064cf1802200069abbabe47f8819490dae9802e2345a6'],True
f54fc7f1_batch0,"[""{\n\t\""GDP growth in 2024\"": 0,\n\t\""Restrictive to Business\"": 0,\n\t\""Business friendly\"": 0\n}""]",,3.967679262161255,491,384,431,,[],['resp_0c6d0ee6eb85d05d0069abbabe4fa88195985126d4a06b064b'],True
491c233a_batch0,"[""{\n\t\""Business friendly\"": 0,\n\t\""Restrictive to Business\"": 0,\n\t\""GDP growth in 2024\"": 0\n}""]",,3.986118793487549,493,192,240,,[],['resp_01daf01167a1826d0069abbabe47b0819799c79ad8a83777b5'],True
20607e7f_batch0_run2,"[""{\n\t\""Business friendly\"": 0,\n\t\""Restrictive to Business\"": 0,\n\t\""GDP growth in 2024\"": 0\n}""]",,4.157490968704224,499,384,472,,[],['resp_079a69a47744a2490069abbabe528c81968e0821abee35da8d'],True
997c4cba_batch0,"[""{\n\t\""Business friendly\"": 0,\n\t\""Restrictive to Business\"": 0,\n\t\""GDP growth in 2024\"": 0\n}""]",,4.168615818023682,495,192,238,,[],['resp_0e3fab18bcf5cbc50069abbabe49e0819aafc2c085fdc6925a'],True
921c27a0_batch0_run2,"[""{\n\t\""GDP growth in 2024\"": 0,\n\t\""Restrictive to Business\"": 0,\n\t\""Business friendly\"": 0\n}""]",,4.594770193099976,493,192,253,,[],['resp_0fe7ea9eea7810790069abbabea03481989c796a3f539f7e35'],True
3de0fe54_batch0,"[""{\n\t\""Restrictive to Business\"": 0,\n\t\""GDP growth in 2024\"": 0,\n\t\""Business friendly\"": 0\n}""]",,5.11660099029541,497,192,286,,[],['resp_0edfe4bff216062e0069abbabe4d048199b6edfc9a13d64f49'],True
983e8931_batch0,"[""{\n\t\""Restrictive to Business\"": 0,\n\t\""GDP growth in 2024\"": 0,\n\t\""Business friendly\"": 0\n}""]",,5.272320032119751,500,256,337,,[],['resp_021e45330e04fb8e0069abbabe48c481989d5c292fa65e507f'],True
983e8931_batch0_run2,"[""{\n\t\""Restrictive to Business\"": 0,\n\t\""GDP growth in 2024\"": 0,\n\t\""Business friendly\"": 0\n}""]",,5.30208683013916,500,256,347,,[],['resp_0d1df33ae516f8210069abbabe50c4819ab9ee192dfdd5ddf8'],True
ad33a512_batch0_run2,"[""{\n\t\""Business friendly\"": 0,\n\t\""Restrictive to Business\"": 0,\n\t\""GDP growth in 2024\"": 0\n}""]",,5.344500780105591,497,256,297,,[],['resp_03663678036446a10069abbabe4f308194bfaba8f1b214eaea'],True
62c533d3_batch0,"[""{\n\t\""GDP growth in 2024\"": 0,\n\t\""Restrictive to Business\"": 0,\n\t\""Business friendly\"": 0\n}""]",,5.367293834686279,494,256,299,,[],['resp_05b0bf25d64ba0250069abbabe4e3c8198bc567742c5871ab7'],True
