newspaper,date,headline,text,gabriel_econ_sentiment,EPU,state_flag,state_codes,source_file,num_art_np_day,vader_sentiment,textblob_sentiment,finbert_sentiment
ET,06/04/2026,Clean Tech Juggernaut Accelerates Past Auto Inc,"Sales of electric, hybrid and CNG-powered passenger vehicles grew at more than double the pace of the automobile industry average, and accounted for nearly a third of the market last fiscal year, underlining rising inclination towards cleaner mobility among Indian buyers. Nearly 1.34 million units of these vehicles were sold in the year ended March 31, a 31% increase compared with 1.02 million units in FY25, show data collated from the government’s Vahan portal and the Society of Indian Automobile Manufacturers. Total passenger vehicle sales rose 13% in the fiscal year to about 4.67 million units. The growing shift towards cleaner mobility will provide respite to the government amid India’s high dependence on oil and gas imports and the difficulty in sourcing fossil fuels due to the West Asia crisis. The Modi administration has had to cut taxes to shield consumers from higher petrol and diesel prices amid the supply crunch. The hard economics of expensive fossil fuels, and growing awareness about deteriorating air quality in cities are nudging buyers toward alternatives that promise lower running costs and a lighter carbon footprint. The demand growth is also supported by expanding charging and CNG supply infrastructure. A flood of new models is also hitting the road. The shift to cleantech is expected to accelerate amid tightening emission regulations and the crisis in West Asia, senior industry executives told ET. 'First and foremost, economics itself is driving up sales of CNG, hybrid and electric vehicles,' said Ashim Sharma, senior partner at Nomura Research Institute, also citing improving infrastructure and launch of new models. Hybrids offer the best of both worlds to buyers who want to drive longer distances at lower operating cost without having to worry about range, he said. Tata Motors Passenger Vehicles managing director and chief executive Shailesh Chandra cited improving consumer confidence in electric vehicles and wider participation by manufacturers, with all major companies launching new products to cater to the demand growth. CNG-fuelled vehicle volumes in the industry grew 20% and EV volumes surpassed the 200,000-unit milestone last fiscal year, he said. Maruti Suzuki, which recently launched its first electric vehicle, is also seeing growing traction for alternative fuel options. 'Demand for CNG is robust,' Partho Banerjee, senior executive officer (marketing and sales) at the country’s largest carmaker, said last week. There is good acceptance among customers for electric vehicles too, with more models on offer in the mainstream market, he said. While consumer popularity is growing, carmakers have lined up multiple EV launches over the next three to four years, amid tightening emission rules. Electric cars, in fact, are poised to dominate the launch portfolio of automakers in the coming months. Tata Motors is scheduled to introduce the Sierra EV shortly. Also on the cards are three new models from Vietnamese electric carmaker VinFast, and an electric SUV each from Toyota Kirloskar Motor and Kia India. New EVs that hit the road recently include Maruti Suzuki e-Vitara, Mahindra XEV 9s and Tata Punch EV. Tata Motors, which offers CNG options in five of its vehicles, posted 24% growth in sales in the segment at 170,000 units last fiscal year. Sales of its electric vehicles rose 43% to 92,000 units in the same period, Chandra said. 'Industry momentum is expected to sustain, led by growth in SUVs, CNG and EV.'",74,0,0,NA,ET-Bangalore 06-04.pdf,45,98.8,56.1,97.0
ET,06/04/2026,Status Quo on Interest Rates Likely,"The Reserve Bank of India (RBI) is expected to hold interest rates and keep its policy stance unchanged when the monetary policy is announced on Wednesday, according to 15 institutions surveyed by ET, as policymakers grapple with a sharply altered global backdrop amid the US-Israel conflict with Iran that has pushed up energy prices and raised fresh concerns over the fiscal deficit. The six-member monetary policy committee meets April 6-8 for the first time since the war broke out on February 28. While a policy pause is widely anticipated, economists said the RBI’s communication, particularly on the rupee and bond yields, will be closely scrutinised. Several respondents also expect the central bank to consider additional steps to shore up the currency amid persistent capital outflows. 'Further policy changes by the RBI and the India government to manage INR weakness could be likely,' said Michael Wan, senior currency analyst at MUFG Bank. 'These could include restrictions and higher import duties on gold and non-essential imports and a dedicated facility or FX swap window by the RBI so that oil marketing companies can tap dollars instead of going to the market.' Most economists expect the central bank will avoid an aggressive response for now, preferring to assess the impact of the war and higher oil prices on the economy. 'After two back-to-back circulars on the rupee, people are reminded of the 2013 playbook, but I think the story ends there,' said Abhishek Upadhyay, senior economist at ICICI Securities Primary Dealership. 'It’s not 2013 and we don’t have a situation of a run on the currency.' Highlighting risks without committing to a policy trajectory is a good template to follow, said Sakshi Gupta, principal economist at HDFC Bank. 'If there is a hawkish commentary, it is likely to be balanced by stating that inflation is expected to remain within the comfort zone,' she said. Gaurav Kapur, chief economist at IndusInd Bank, expects that the governor is likely to acknowledge rising risks to inflation, growth and the exchange rate, while highlighting macroeconomic and financial stability backed by adequate external buffers to absorb supply shocks. Markets will focus on the RBI’s assumed crude oil price, which underpins its growth and inflation projections. India’s retail inflation stood at 3.21% in February. In the last policy announcement on February 6, the RBI projected inflation for the first two quarters of FY27 at 4% and 4.2%, while GDP growth was seen at 6.9% and 7%, respectively.",34,0,0,NA,ET-Bangalore 06-04.pdf,45,84.6,53.7,14.9
ET,06/04/2026,"SIR 3rd Phase for 23 States, 6 UTs Unlikely to Start in April","The third and final phase of the special intensive revision of electoral rolls is unlikely to begin in April and may be launched only after June, ET has learnt. Election Commission of India wrote to chief electoral officers of 23 states and six Union Territories on February 19 to ‘complete preparatory work at the earliest’, stating that SIR could ‘start from April’. However, it is learnt that 16th census exercise, which started on April 1, has come in the way. All-important booth level officers, crucial to SIR, are usually government teachers/employees and utilised extensively in the census exercise too. Census 2027’s ongoing first phase — house listing and housing census — was launched on April 1 and will continue until September 30 with the same pool of manpower. An overlap with the first stage of SIR, enumeration of each elector spread out over a month, will become challenging for enumerators. Also, SIR takes at least three months and, in reality, it has stretched out even further in the second phase. Phase-II saw several cases of complaints from BLOs on deadline pressures and workload. That apart, this phase has thrown up fresh challenges, making scheduling even more difficult. Phase-II got caught in litigation and political opposition, with several state governments moving court against ECI over various facets of SIR which often led to schedule changes. Then emerged an additional issue of ‘logical discrepancies’ in roll documentation in West Bengal. The issue landed in Supreme Court and is still simmering in prolonged and tense adjudications. Unlike Bihar’s SIR, where ECI refused any deadline extension, second phase has seen several extensions and varied timelines across 12 states/UTs.",50,0,0,NA,ET-Bangalore 06-04.pdf,45,41.2,51.0,50.0
ET,06/04/2026,‘Labelling People of Ladakh Anti-National A Self-Goal’,"Prominent climate activist Sonam Wangchuk on Sunday said that India was respected for its nationalistic border population unlike China and Pakistan, and that calling people of Ladakh as ‘anti-national’ was a ‘self-goal’ that needed introspection. Wangchuk addressed a huge gathering at Gandhi Park in Kargil, where Kargil Democratic Alliance organised a welcome programme for him after his release from jail. The members of Apex Body Leh, KDA members, Lok Sabha MP from Ladakh and LAHDC members were present at the function. ‘India is respected for its nationalistic population or borders unlike Pakistan and China where they have a lot of differences. It is unfortunate that a narrative of anti-national was spread against Ladakh. It is a self-goal and needs introspection,’ he said. Wangchuk also referred to remarks of Ladakh DGP who in a presser in September referred to him as ‘anti-national who has connections with Pakistan’. ‘I was branded as anti-national and connected to Pakistan. It was sad and baffling. All allegations were rejected by court. Now it is the time for them to explain. If I was wrong, then I should be in jail or else they should sincerely apologise,’ he said. Wangchuk said dialogue with the Centre should happen in a conducive atmosphere and people of Ladakh should remain united to press for their democratic and constitutional rights.",50,0,1,LA,ET-Bangalore 06-04.pdf,45,86.8,52.5,50.0
ET,06/04/2026,Kerala Capital Fights Triangularly Poised,"Assembly elections in Kerala’s capital city are being followed in the immediate context of BJP, for the first time, winning the mantle to rule the Thiruvananthapuram corporation less than six months ago by ending the CPI(M)-led LDF rule and pushing the Congress-led UDF to third position. If that makes these polls an occasion for BJP to try and expand its show to the city’s assembly segments, and for LDF and UDF a test on their capacity to fight back, then Vattiyoorkavu and Kazhakootam seats present a classic case of fierce triangular fight involving three principal rivals. In 2021, Left won these two seats after a fierce fight with BJP coming second, pushing Congress to third slot. The star line-up at Vattiyoorkavu includes young CPM MLA VK Prasanth, Congress heavyweight K Muraleedharan and BJP corporator R Sreelekha. A local resident said Prasanth is a young, energetic and accessible MLA, while Muraleedharan will have to convince voters he will not be moved out mid-term to fight other Congress electoral battles and Sreelekha faces questions over local BJP backing. BJP’s lead in Vattiyoorkavu in the last Lok Sabha and corporation polls and Left and UDF’s past victories make the fight a close suspense. In neighbouring Kazhakootam, the man at the centre of the Left’s hope, and the target of BJP and Congress, is CPI(M) MLA Kadakampalli Surendran, who was embroiled, as former minister for Devaswom, in the murky Sabarimala gold heist case. Despite the controversies, the Left is again betting on him since he is CPI(M)’s most entrenched local leader, with a knack to rally the election machinery. Senior BJP leader V Muraleedharan has positioned himself as the main challenger here, given a BJP candidate was second in the assembly seat last time. Many locals feel the votes of Congress candidate T Sarathchandra Prasad, a locally entrenched player, will have a bearing in tilting the balance.",50,0,1,KL,ET-Bangalore 06-04.pdf,45,74.7,54.4,50.0
ET,06/04/2026,"CM Vijayan Vows More Welfare, Development","A crowd, mostly women, gathered at Kulam Bazaar in Dharmadam, a coastal constituency about 15 km from Kannur town in Kerala, to hear chief minister Pinarayi Vijayan. The 80-year-old CPI(M) leader reached his constituency amid a whirlwind campaign. Vijayan focused his campaign on a surfeit of what he gave people: welfare schemes including pensions for low-income families and development programmes. ‘Public had a thought that development was not possible, we brought it, and I guess people want that to continue,’ Vijayan told the crowd. He also criticised the opposition, saying the United Democratic Front doesn’t ensure accountability for the state and the welfare of the people. Locals who have historically supported the Left expressed mixed feelings about the upcoming state government. They were, however, confident Vijayan would retain his seat. Some said the Sabarimala gold theft issue has affected public sentiment and the UDF might form the government this time, but Vijayan would still win here. Others said the chief minister interacts very little with people directly, though many residents highlighted his work in education and infrastructure and described Dharmadam as a ‘sure seat’. Dharmadam was declared Kerala’s first constituency free of extreme poverty in April 2025.",53,0,1,KL,ET-Bangalore 06-04.pdf,45,94.0,59.9,50.0
ET,06/04/2026,"Stalin Accuses EPS of ‘Lies, Deception’","Tamil Nadu CM MK Stalin on Sunday launched a scathing attack on Opposition leader Edappadi K Palaniswami, accusing him of building a campaign on slander, substandard rhetoric and misinformation. ‘If you say Palaniswami, it means lies and deception,’ he alleged at a rally in Virudhunagar. ‘He is hiding his own lies and telling lies repeatedly. The lies told by Palaniswami could be published as books; he is lying to that extent.’ He said everyone in the state was aware that despite the Union government collecting taxes to ‘benefit northern states’ and creating an ‘artificial financial crisis’ for Tamil Nadu, the DMK government had overcome those hurdles. ‘We have successfully implemented all our promises, including the pension scheme,’ he said. ‘Rather than holding the BJP-led Union government accountable, Palaniswami has chosen to target me. This is hardly surprising, considering he betrayed Jayalalithaa’s legacy by aligning with the very party she vehemently opposed.’ Stalin also defended the government’s coupon scheme, saying distribution of coupons instead of cash made allegations of commission-taking illogical.",45,0,1,TN,ET-Bangalore 06-04.pdf,45,3.6,56.7,16.6
ET,06/04/2026,Muted Easter in Eateries of Poll-bound Puducherry,"Restaurants in election-bound Puducherry were scrambling to find ways to offer a special brunch for customers on Easter owing to LPG shortage. The quaint White Town in the heart of the Union Territory is dotted with cafes that have traditionally served an Easter brunch to cater to the large Christian population and tourists. But this year, traditional menus were revisited and some brunches were shelved. Cafe Veloute owner John Peter said some signature dishes have been skipped because slow cooking was not feasible due to the LPG issue. Some restaurants scrapped their brunches entirely. Rendezvous owner Valerie Mathias said this was the first time in 32 years that there was no Easter brunch at the restaurant. ‘LPG cylinder prices in the black market have touched `5,000 and that is not feasible. We are considering if it is worth keeping the restaurant running or taking a break during the summer,’ she said. Bread & Chocolate said it was making bread and pizza in a woodfire oven, while a roadside eatery owner purchased a `20,000 firewood stove to tide over the period. Restaurateurs also raised concerns over restrictions imposed by authorities due to roadshows and rallies by prominent politicians. ‘The LPG issue coupled with polls happening at this time have kept tourists away and hit our business,’ Mathias said.",28,0,1,PY,ET-Bangalore 06-04.pdf,45,80.6,53.2,4.0
ET,06/04/2026,"Stalin, Welfarism Anchor DMK, says Kanimozhi","DMK’s parliamentary party leader Kanimozhi K said the party enters the election on the strength of its delivery. She said the governance record reflects improvements in human development indicators and steady economic growth, with Tamil Nadu among the better-performing states. Flagship welfare measures like the breakfast scheme and Magalir Urimai Thogai scheme have had a measurable social impact, while under chief minister MK Stalin the party has asserted the state’s rights within the federal system. Kanimozhi defended direct cash support, saying putting money in people’s hands boosts consumption, supports businesses and drives the economy. Schemes like the proposed Illathu Arasi initiative offering `8,000 coupons for household appliances are designed to combine empowerment with demand generation, she said. She described Vijay’s political impact as premature to assess and said the electorate makes informed choices based on governance, ideology and track record. On delimitation, she said Tamil Nadu has maintained that states which successfully implemented population control should not be penalised with reduced representation, and argued that delimitation should be based on the 1971 census rather than the 2011 census.",62,0,1,TN,ET-Bangalore 06-04.pdf,45,98.9,58.9,94.6
ET,06/04/2026,Modi Flags Govt Failure in West Bengal; Mamata Urges Voters to ‘Stay Vigilant’,"West Bengal CM Mamata Banerjee on Sunday called on women to ‘remain ready with broomsticks’ to resist any untoward incidents during the upcoming assembly polls, and warned that they must stay alert as the CAPF may conduct body frisking. ‘I have heard that women will be frisked thoroughly by CAPF. If anyone stops you from casting your vote, make sure to use your broom to clean the road. Our brothers will support you by standing behind you,’ she said. Banerjee referred to Bhabanipur candidate Suvendu Adhikari’s nomination rally and alleged that outsiders were present throughout the roadshow. ‘They ran amok, tearing down my posters and banners, spitting on our campaign material, harassing and heckling women bystanders, and even showing shoes at the sacred Maa Kali temple,’ she claimed. The Election Commission of India had directed the state chief secretary to suspend four police officials, including a deputy commissioner, for law and order failure during the roadshow and nomination in the Bhabanipur constituency and ordered disciplinary action against them. Banerjee also urged people whose names had been wrongly deleted from electoral rolls to immediately approach appellate tribunals, as applications had to be filed by April 6.",50,0,1,WB,ET-Bangalore 06-04.pdf,45,44.9,48.5,24.3
