Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
aa99fb05_batch0,"[""{\n  \""populist\"": 40,\n  \""religious rhetoric\"": 28,\n  \""supportive of rugged individualism\"": 12,\n  \""anger towards other party\"": 5,\n  \""patriotic rhetoric\"": 92,\n  \""pro welfare state\"": 90,\n  \""isolationist\"": 0,\n  \""foreign policy focus\"": 95\n}""]",,15.737073183059692,7336,1728,1856,,[],['resp_07459b1017eaf1960069a811e3cc60819781a48f71e43a3eb6'],True
a26d4a48_batch0,"[""{\n\t\""foreign policy focus\"": 15,\n\t\""isolationist\"": 5,\n\t\""patriotic rhetoric\"": 85,\n\t\""populist\"": 75,\n\t\""anger towards other party\"": 15,\n\t\""supportive of rugged individualism\"": 60,\n\t\""religious rhetoric\"": 10,\n\t\""pro welfare state\"": 70\n}""]",,13.933276891708374,6085,1600,1721,,[],['resp_075acabae7f6d7430069a811e5b9148199b674d59123bee641'],True
6cd9fb36_batch0,"[""{\n  \""populist\"": 18,\n  \""supportive of rugged individualism\"": 10,\n  \""isolationist\"": 0,\n  \""anger towards other party\"": 5,\n  \""pro welfare state\"": 92,\n  \""religious rhetoric\"": 50,\n  \""foreign policy focus\"": 95,\n  \""patriotic rhetoric\"": 97\n}""]",,16.767234086990356,6004,1984,2081,,[],['resp_0fbfe6c402a812c00069a811e400e081948c53382d45675829'],True
f11e590b_batch0,"[""{\n\t\""anger towards other party\"": 10,\n\t\""religious rhetoric\"": 0,\n\t\""isolationist\"": 15,\n\t\""patriotic rhetoric\"": 93,\n\t\""pro welfare state\"": 80,\n\t\""foreign policy focus\"": 96,\n\t\""supportive of rugged individualism\"": 40,\n\t\""populist\"": 28\n}""]",,17.533647775650024,20977,1792,1935,,[],['resp_047d1aeabb6d50a60069a811e3d65c819b86fb2b6dfad46219'],True
1dc7a0db_batch0,"[""{\n  \""isolationist\"": 20,\n  \""populist\"": 10,\n  \""foreign policy focus\"": 85,\n  \""anger towards other party\"": 0,\n  \""religious rhetoric\"": 0,\n  \""patriotic rhetoric\"": 85,\n  \""supportive of rugged individualism\"": 70,\n  \""pro welfare state\"": 68\n}""]",,17.94192409515381,5575,2240,2336,,[],['resp_02755f67f65568790069a811e33aa4819a9b22604ec9b62291'],True
b84d41e1_batch0,"[""{\n  \""patriotic rhetoric\"": 92,\n  \""populist\"": 50,\n  \""supportive of rugged individualism\"": 25,\n  \""anger towards other party\"": 15,\n  \""isolationist\"": 12,\n  \""religious rhetoric\"": 70,\n  \""foreign policy focus\"": 95,\n  \""pro welfare state\"": 80\n}""]",,13.118468761444092,6417,1344,1456,,[],['resp_05fdd9d6c99341330069a811e90c288198b1e903f3800bd462'],True
c6f3eb88_batch0,"[""{\n\t\""supportive of rugged individualism\"": 78,\n\t\""foreign policy focus\"": 92,\n\t\""patriotic rhetoric\"": 90,\n\t\""isolationist\"": 5,\n\t\""populist\"": 40,\n\t\""pro welfare state\"": 20,\n\t\""anger towards other party\"": 10,\n\t\""religious rhetoric\"": 65\n}""]",,13.061691761016846,6723,1344,1480,,[],['resp_079eb7b92738dc3c0069a811e9d36881989f148d765948ff0b'],True
16eae1e2_batch0,"[""{\n  \""foreign policy focus\"": 85,\n  \""religious rhetoric\"": 20,\n  \""pro welfare state\"": 85,\n  \""populist\"": 25,\n  \""patriotic rhetoric\"": 95,\n  \""supportive of rugged individualism\"": 40,\n  \""isolationist\"": 10,\n  \""anger towards other party\"": 5\n}""]",,19.763460159301758,6067,1920,2058,,[],['resp_0c19edcbb12f01dd0069a811e501f881938698e0cf3fc25a36'],True
a7456b2b_batch0,"[""{\n\t\""pro welfare state\"": 88,\n\t\""patriotic rhetoric\"": 85,\n\t\""foreign policy focus\"": 95,\n\t\""isolationist\"": 7,\n\t\""anger towards other party\"": 0,\n\t\""supportive of rugged individualism\"": 12,\n\t\""religious rhetoric\"": 0,\n\t\""populist\"": 15\n}""]",,11.59886121749878,40496,1088,1176,,[],['resp_0fb107a1d1c06f210069a811ed6ab48198bac6023b5ad69d0c'],True
be8a322e_batch0,"[""{\n\t\""supportive of rugged individualism\"": 45,\n\t\""patriotic rhetoric\"": 92,\n\t\""anger towards other party\"": 0,\n\t\""isolationist\"": 0,\n\t\""foreign policy focus\"": 85,\n\t\""religious rhetoric\"": 0,\n\t\""pro welfare state\"": 20,\n\t\""populist\"": 30\n}""]",,13.196170091629028,5863,1472,1563,,[],['resp_0fcee871a64f39400069a811ebfa4c819aa8d1f7048b8453b6'],True
