Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
6ca89c13_batch0,"[""{\n\t\""isolationist\"": 20,\n\t\""anger towards other party\"": 0,\n\t\""supportive of rugged individualism\"": 5,\n\t\""pro welfare state\"": 0,\n\t\""patriotic rhetoric\"": 75,\n\t\""populist\"": 10,\n\t\""foreign policy focus\"": 30,\n\t\""religious rhetoric\"": 0\n}""]",,9.330150127410889,1565,896,1021,,[],['resp_0292086faf24b57e0069a7e8ef2b2881958cc283a3ad229104'],True
e3688205_batch0,"[""{\n  \""foreign policy focus\"": 75,\n  \""anger towards other party\"": 5,\n  \""isolationist\"": 15,\n  \""patriotic rhetoric\"": 65,\n  \""supportive of rugged individualism\"": 10,\n  \""pro welfare state\"": 0,\n  \""religious rhetoric\"": 0,\n  \""populist\"": 5\n}""]",,14.839704990386963,1570,1152,1290,,[],['resp_065f53b7a86a85700069a7e8f05de88194b07f40b8f5e4c6b6'],True
442658ab_batch0,"[""{\n  \""religious rhetoric\"": 0,\n  \""foreign policy focus\"": 92,\n  \""supportive of rugged individualism\"": 15,\n  \""pro welfare state\"": 0,\n  \""isolationist\"": 20,\n  \""patriotic rhetoric\"": 80,\n  \""anger towards other party\"": 0,\n  \""populist\"": 28\n}""]",,14.960127830505371,1507,1344,1435,,[],['resp_0e1030425b75aafb0069a7e8ef288c8190adcb82aef3a1d925'],True
2a8a7347_batch0,"[""{\n  \""supportive of rugged individualism\"": 75,\n  \""isolationist\"": 15,\n  \""foreign policy focus\"": 15,\n  \""populist\"": 10,\n  \""pro welfare state\"": 5,\n  \""religious rhetoric\"": 0,\n  \""patriotic rhetoric\"": 25,\n  \""anger towards other party\"": 0\n}""]",,14.806527137756348,1505,1408,1512,,[],['resp_04e45b02036ae78b0069a7e8ef5ee481969d773caf99fbe6a3'],True
3d207221_batch0,"[""{\n  \""isolationist\"": 0,\n  \""pro welfare state\"": 0,\n  \""populist\"": 25,\n  \""supportive of rugged individualism\"": 15,\n  \""anger towards other party\"": 0,\n  \""religious rhetoric\"": 0,\n  \""patriotic rhetoric\"": 12,\n  \""foreign policy focus\"": 0\n}""]",,13.684678792953491,1528,1216,1354,,[],['resp_01f02e1025ce586e0069a7e8f0ae988194933da4e4a2b10f03'],True
5ed6ecef_batch0,"[""{\n  \""patriotic rhetoric\"": 0,\n  \""isolationist\"": 0,\n  \""pro welfare state\"": 0,\n  \""foreign policy focus\"": 0,\n  \""anger towards other party\"": 0,\n  \""populist\"": 0,\n  \""religious rhetoric\"": 0,\n  \""supportive of rugged individualism\"": 0\n}""]",,15.318634033203125,1500,1344,1435,,[],['resp_07e5fbf6361703200069a7e8ef2c18819692200ceb633bd973'],True
82c9fbf0_batch0,"[""{\n  \""religious rhetoric\"": 0,\n  \""anger towards other party\"": 0,\n  \""patriotic rhetoric\"": 80,\n  \""populist\"": 45,\n  \""supportive of rugged individualism\"": 20,\n  \""foreign policy focus\"": 0,\n  \""isolationist\"": 0,\n  \""pro welfare state\"": 15\n}""]",,11.905022859573364,1527,1856,1992,,[],['resp_02fd3b12485b570e0069a7e8f2c21c8193a4e3af524bad14a8'],True
b0126e86_batch0,"[""{\n  \""isolationist\"": 20,\n  \""foreign policy focus\"": 40,\n  \""populist\"": 10,\n  \""anger towards other party\"": 0,\n  \""religious rhetoric\"": 0,\n  \""patriotic rhetoric\"": 70,\n  \""pro welfare state\"": 0,\n  \""supportive of rugged individualism\"": 5\n}""]",,13.2390878200531,1516,1152,1245,,[],['resp_053d53851675295d0069a7e8f1b92881959177b90324550fe7'],True
a767ce01_batch0,"[""{\n  \""isolationist\"": 0,\n  \""religious rhetoric\"": 0,\n  \""pro welfare state\"": 0,\n  \""supportive of rugged individualism\"": 28,\n  \""anger towards other party\"": 0,\n  \""populist\"": 40,\n  \""patriotic rhetoric\"": 0,\n  \""foreign policy focus\"": 0\n}""]",,15.156455993652344,1503,1280,1417,,[],['resp_0caf05b0e75964460069a7e8efdf34819aa5419cc3abaeb797'],True
84ee5186_batch0,"[""{\n  \""pro welfare state\"": 5,\n  \""patriotic rhetoric\"": 90,\n  \""isolationist\"": 10,\n  \""foreign policy focus\"": 20,\n  \""religious rhetoric\"": 40,\n  \""anger towards other party\"": 5,\n  \""populist\"": 25,\n  \""supportive of rugged individualism\"": 85\n}""]",,16.09151792526245,1526,1472,1600,,[],['resp_0b3bf13c15f375f60069a7e8ef2a108198866b410004871c9f'],True
