Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful,Cost,Batch,Pair,IdA,IdB
f2a3a33a,"['{\n    ""anger"": ""circle"",\n    ""toxicity towards other users"": ""circle"",\n    ""use of logic"": ""square"",\n    ""formality"": ""square"",\n    ""optimistic about technology"": ""insufficient signal""\n}']",,6.063394069671631,730,256,368,,[],['resp_080d14ba86cb68990069a817e812488193952d0165c8b17227'],True,0.0014305,0,4,a06da599,b2104f43
c6683430,"['{\n  ""optimistic about technology"": ""square"",\n  ""toxicity towards other users"": ""insufficient signal"",\n  ""anger"": ""insufficient signal"",\n  ""formality"": ""draw"",\n  ""use of logic"": ""circle""\n}']",,6.419926881790161,732,384,453,,[],['resp_08a80d220784c5c60069a817e8115c81938d1bfd336b438c5e'],True,0.001857,0,28,b2104f43,e506da68
1d917c89,"['{\n  ""formality"": ""circle"",\n  ""toxicity towards other users"": ""insufficient signal"",\n  ""use of logic"": ""square"",\n  ""optimistic about technology"": ""circle"",\n  ""anger"": ""insufficient signal""\n}']",,6.842833995819092,734,384,449,,[],['resp_042ec735dbdc362c0069a817e8144c8197a35a6fda502b5d01'],True,0.0018495,0,25,e506da68,f0ffdee4
a50def29,"['{\n  ""formality"": ""circle"",\n  ""optimistic about technology"": ""square"",\n  ""toxicity towards other users"": ""insufficient signal"",\n  ""use of logic"": ""insufficient signal"",\n  ""anger"": ""insufficient signal""\n}']",,6.941738128662109,725,448,534,,[],['resp_055792785d78833f0069a817e80c648198978f071a823b650c'],True,0.00214525,0,29,b57aea60,e26c32c2
0abdcb5b,"['{\n    ""optimistic about technology"": ""square"",\n    ""formality"": ""square"",\n    ""toxicity towards other users"": ""circle"",\n    ""use of logic"": ""square"",\n    ""anger"": ""circle""\n}']",,7.036994934082031,730,320,403,,[],['resp_02cdebe8fd0c53710069a817e810f88198ab2e9a10cb7e120b'],True,0.0016285,0,5,d9570ca0,e506da68
b379e6c9,"['{\n    ""optimistic about technology"": ""square"",\n    ""toxicity towards other users"": ""circle"",\n    ""use of logic"": ""square"",\n    ""anger"": ""circle"",\n    ""formality"": ""square""\n}']",,7.2670347690582275,731,384,474,,[],['resp_0dda71a3873549a90069a817e80dc8819794c11716033562c9'],True,0.00189875,0,24,d9570ca0,ddc4e241
3bd4fecc,"['{\n    ""formality"": ""square"",\n    ""optimistic about technology"": ""circle"",\n    ""use of logic"": ""square"",\n    ""anger"": ""insufficient signal"",\n    ""toxicity towards other users"": ""insufficient signal""\n}']",,7.322144985198975,735,384,478,,[],['resp_047c21be012faaa30069a817e8107c8199b03df3c31f89cf05'],True,0.0019077500000000002,0,41,3e34b3c5,ff2f977d
b533f7aa,"['{\n    ""use of logic"": ""insufficient signal"",\n    ""anger"": ""insufficient signal"",\n    ""optimistic about technology"": ""square"",\n    ""formality"": ""circle"",\n    ""toxicity towards other users"": ""insufficient signal""\n}']",,7.357968330383301,722,448,567,,[],['resp_04113c00e80f29b80069a817e814dc8193a145f12ca4ba789f'],True,0.0022105000000000002,0,48,6dfcc8cf,e26c32c2
100e08d1,"['{\n    ""formality"": ""square"",\n    ""toxicity towards other users"": ""insufficient signal"",\n    ""optimistic about technology"": ""circle"",\n    ""anger"": ""insufficient signal"",\n    ""use of logic"": ""square""\n}']",,7.4797279834747314,739,512,578,,[],['resp_08824881c9fc48850069a817e81330819bbfa18658def4b610'],True,0.00236475,0,44,3e34b3c5,bffdeaf6
336127b9,"['{\n    ""formality"": ""square"",\n    ""anger"": ""circle"",\n    ""optimistic about technology"": ""square"",\n    ""toxicity towards other users"": ""circle"",\n    ""use of logic"": ""square""\n}']",,8.026298761367798,729,448,535,,[],['resp_09c23e2606463a570069a817e809dc819bb821de7a841b55ee'],True,0.00214825,0,21,d9570ca0,f0ffdee4
3d63f0fc,"['{\n  ""formality"": ""circle"",\n  ""optimistic about technology"": ""insufficient signal"",\n  ""anger"": ""square"",\n  ""toxicity towards other users"": ""square"",\n  ""use of logic"": ""circle""\n}']",,8.069821119308472,727,384,496,,[],['resp_05aa1c6d55a2094e0069a817e8413c819abae6e9755695e429'],True,0.0019417500000000001,0,32,b2104f43,d9570ca0
bfa9f499,"['{\n  ""toxicity towards other users"": ""square"",\n  ""optimistic about technology"": ""insufficient signal"",\n  ""formality"": ""circle"",\n  ""anger"": ""square"",\n  ""use of logic"": ""circle""\n}']",,8.084350109100342,732,576,631,,[],['resp_0a5bb688e9b7db610069a817e80fcc819883cb8cd5fa18a7c1'],True,0.002597,0,39,8898da04,a06da599
f77c647c,"['{\n  ""toxicity towards other users"": ""insufficient signal"",\n  ""use of logic"": ""insufficient signal"",\n  ""anger"": ""insufficient signal"",\n  ""formality"": ""circle"",\n  ""optimistic about technology"": ""square""\n}']",,8.458232164382935,722,512,630,,[],['resp_03b7be2333266b4c0069a817e814208193ab428f6b0bb3e4c2'],True,0.0024645,0,49,6dfcc8cf,e26c32c2
c7c8c0eb,"['{\n    ""use of logic"": ""square"",\n    ""anger"": ""insufficient signal"",\n    ""toxicity towards other users"": ""insufficient signal"",\n    ""optimistic about technology"": ""square"",\n    ""formality"": ""draw""\n}']",,8.45907211303711,748,576,660,,[],['resp_0aacbe3c97e1a88b0069a817e813708198b3afd15f7b7181c8'],True,0.002659,0,7,71aee04d,bffdeaf6
54667bbb,"['{\n    ""formality"": ""square"",\n    ""optimistic about technology"": ""square"",\n    ""toxicity towards other users"": ""circle"",\n    ""use of logic"": ""insufficient signal"",\n    ""anger"": ""circle""\n}']",,8.479599952697754,734,576,652,,[],['resp_02a7db1aa1d617260069a817e8086881949882d2cb54494a2c'],True,0.0026395,0,15,8898da04,e506da68
