Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
f964f65f_batch0,"[""{\n\t\""neutral\"": 78,\n\t\""optimism\"": 55,\n\t\""confidence\"": 70,\n\t\""stressed\"": 10,\n\t\""factual\"": 85,\n\t\""anger\"": 0\n}""]",,3.5764639377593994,760,64,167,low,[],['resp_0776b16bde5a6f850069a98b6e25a0819b9d6a78c683205c09'],True
912fdbe0_batch0,"[""{\n\t\""optimism\"": 40,\n\t\""neutral\"": 85,\n\t\""stressed\"": 15,\n\t\""confidence\"": 70,\n\t\""anger\"": 5,\n\t\""factual\"": 90\n}""]",,3.9204742908477783,765,128,197,low,[],['resp_03e313ed24b5a2590069a98b6e17ec81988dca3264d9dffac2'],True
57880d84_batch0,"[""{\n\t\""stressed\"": 5,\n\t\""confidence\"": 85,\n\t\""anger\"": 0,\n\t\""factual\"": 10,\n\t\""neutral\"": 70,\n\t\""optimism\"": 75\n}""]",,4.090096950531006,756,128,193,low,[],['resp_0a86e8237041aa8d0069a98b6e1dc081979527a2768fe646a9'],True
c96ebb59_batch0,"[""{\n\t\""confidence\"": 80,\n\t\""factual\"": 60,\n\t\""stressed\"": 10,\n\t\""optimism\"": 25,\n\t\""neutral\"": 75,\n\t\""anger\"": 5\n}""]",,4.090275049209595,739,128,214,low,[],['resp_0674641e62ca9e7b0069a98b6e2af48190b4fe32cf2f187ec2'],True
e294b595_batch0,"[""{\n\t\""factual\"": 80,\n\t\""confidence\"": 85,\n\t\""stressed\"": 30,\n\t\""optimism\"": 10,\n\t\""neutral\"": 90,\n\t\""anger\"": 5\n}""]",,4.127427101135254,724,128,198,low,[],['resp_0301c1bfca88e9660069a98b6e1f84819b92026c2a55fd1549'],True
c9217e3e_batch0,"[""{\n\t\""factual\"": 85,\n\t\""stressed\"": 10,\n\t\""anger\"": 5,\n\t\""confidence\"": 80,\n\t\""optimism\"": 75,\n\t\""neutral\"": 70\n}""]",,4.1601457595825195,741,128,211,low,[],['resp_02b224671b76227a0069a98b6e20a081948a22644d8e00169f'],True
fbbe1535_batch0,"[""{\n\t\""stressed\"": 10,\n\t\""factual\"": 70,\n\t\""anger\"": 0,\n\t\""confidence\"": 85,\n\t\""optimism\"": 10,\n\t\""neutral\"": 90\n}""]",,4.2302470207214355,760,128,203,low,[],['resp_0ea8f003bcd1edbb0069a98b6e26d48194946be0eee6bbc022'],True
f552a1a8_batch0,"[""{\n\t\""anger\"": 0,\n\t\""factual\"": 0,\n\t\""stressed\"": 0,\n\t\""optimism\"": 40,\n\t\""confidence\"": 80,\n\t\""neutral\"": 70\n}""]",,4.3132240772247314,720,64,167,low,[],['resp_0cdc7f7e1b2a81180069a98b6e23a88198ae5ae48685746804'],True
e918d7c7_batch0,"[""{\n\t\""optimism\"": 70,\n\t\""stressed\"": 5,\n\t\""neutral\"": 80,\n\t\""factual\"": 85,\n\t\""anger\"": 2,\n\t\""confidence\"": 75\n}""]",,4.31990909576416,719,128,209,low,[],['resp_07e8a6536b80c92f0069a98b6e2980819785e85e0ffde96784'],True
da6e0dc8_batch0,"[""{\n\t\""confidence\"": 80,\n\t\""stressed\"": 10,\n\t\""optimism\"": 65,\n\t\""factual\"": 85,\n\t\""neutral\"": 85,\n\t\""anger\"": 0\n}""]",,4.366756200790405,759,128,181,low,[],['resp_0a419009f56365540069a98b6e2e248195a31d061926580f24'],True
6204635c_batch0,"[""{\n\t\""neutral\"": 88,\n\t\""optimism\"": 40,\n\t\""confidence\"": 90,\n\t\""factual\"": 95,\n\t\""anger\"": 0,\n\t\""stressed\"": 5\n}""]",,4.386172294616699,779,64,180,low,[],['resp_0927aac68402ccdf0069a98b6e2460819a827fb1c9f480484d'],True
e30e1b5d_batch0,"[""{\n\t\""confidence\"": 86,\n\t\""factual\"": 88,\n\t\""anger\"": 2,\n\t\""optimism\"": 15,\n\t\""neutral\"": 92,\n\t\""stressed\"": 12\n}""]",,4.452178001403809,736,128,212,low,[],['resp_08a53904df593d0f0069a98b6e2224819aa8cb0aa507aba3d8'],True
2833ae53_batch0,"[""{\n\t\""optimism\"": 70,\n\t\""anger\"": 0,\n\t\""stressed\"": 5,\n\t\""factual\"": 5,\n\t\""confidence\"": 80,\n\t\""neutral\"": 75\n}""]",,4.612704038619995,754,128,229,low,[],['resp_0894fc4234998d1c0069a98b6e229c81938a503c52bc17da9c'],True
05476a77_batch0,"[""{\n\t\""optimism\"": 50,\n\t\""confidence\"": 90,\n\t\""neutral\"": 80,\n\t\""factual\"": 90,\n\t\""anger\"": 0,\n\t\""stressed\"": 2\n}""]",,4.612353086471558,776,128,233,low,[],['resp_00850871b3955b400069a98b6e2578819988121d5e4ae06ae2'],True
5aec23d5_batch0,"[""{\n\t\""neutral\"": 90,\n\t\""optimism\"": 5,\n\t\""factual\"": 40,\n\t\""stressed\"": 10,\n\t\""confidence\"": 85,\n\t\""anger\"": 5\n}""]",,4.67812705039978,783,128,224,low,[],['resp_0beb3d7ec36c0dfc0069a98b6e243c8193b38c63a4a94d868f'],True
a167404e_batch0,"[""{\n\t\""stressed\"": 5,\n\t\""optimism\"": 10,\n\t\""neutral\"": 90,\n\t\""factual\"": 95,\n\t\""anger\"": 0,\n\t\""confidence\"": 85\n}""]",,4.747711896896362,777,64,177,low,[],['resp_0e07741bb02b83c60069a98b6e26a081999eb6be38d5140ba7'],True
8de703a6_batch0,"[""{\n\t\""factual\"": 85,\n\t\""confidence\"": 80,\n\t\""optimism\"": 15,\n\t\""stressed\"": 5,\n\t\""anger\"": 2,\n\t\""neutral\"": 85\n}""]",,4.863922834396362,703,192,256,low,[],['resp_0d1c3305a71025a30069a98b6e15548194a9aa7594eb5f60df'],True
6ea9dce7_batch0,"[""{\n\t\""confidence\"": 90,\n\t\""anger\"": 2,\n\t\""neutral\"": 85,\n\t\""factual\"": 70,\n\t\""optimism\"": 20,\n\t\""stressed\"": 10\n}""]",,4.8829779624938965,708,192,251,low,[],['resp_0046d5e90acfc30a0069a98b6e1f9c81949a1c0631bf2a4de1'],True
9514d2c2_batch0,"[""{\n\t\""confidence\"": 75,\n\t\""neutral\"": 85,\n\t\""anger\"": 2,\n\t\""stressed\"": 5,\n\t\""factual\"": 20,\n\t\""optimism\"": 70\n}""]",,4.961584806442261,716,192,257,low,[],['resp_0af2a16416be16ca0069a98b6e258481999c910d36f810fff5'],True
03c0708e_batch0,"[""{\n\t\""neutral\"": 65,\n\t\""stressed\"": 5,\n\t\""anger\"": 0,\n\t\""factual\"": 10,\n\t\""confidence\"": 85,\n\t\""optimism\"": 80\n}""]",,4.980003118515015,728,192,252,low,[],['resp_0ba23991f3594ad50069a98b6e2498819aa813148bd4f18898'],True
67474da8_batch0,"[""{\n\t\""optimism\"": 60,\n\t\""stressed\"": 10,\n\t\""factual\"": 80,\n\t\""confidence\"": 55,\n\t\""anger\"": 5,\n\t\""neutral\"": 75\n}""]",,5.025135278701782,749,128,201,low,[],['resp_0f9ecea0a349e9430069a98b6e25688199b419f13220f896f5'],True
28555c2e_batch0,"[""{\n\t\""confidence\"": 70,\n\t\""anger\"": 20,\n\t\""neutral\"": 80,\n\t\""factual\"": 95,\n\t\""stressed\"": 20,\n\t\""optimism\"": 25\n}""]",,5.138338088989258,761,192,265,low,[],['resp_0e889b5937a3ec260069a98b6e647c8196a8d2204256b5a3be'],True
673dacff_batch0,"[""{\n\t\""neutral\"": 88,\n\t\""optimism\"": 5,\n\t\""anger\"": 5,\n\t\""confidence\"": 90,\n\t\""factual\"": 10,\n\t\""stressed\"": 10\n}""]",,5.139509916305542,730,192,278,low,[],['resp_0921c2cb81fc5dc70069a98b6e2300819a8794584b4f622d09'],True
efca63e8_batch0,"[""{\n\t\""stressed\"": 20,\n\t\""optimism\"": 30,\n\t\""factual\"": 20,\n\t\""neutral\"": 70,\n\t\""anger\"": 0,\n\t\""confidence\"": 75\n}""]",,5.140215873718262,729,192,265,low,[],['resp_068172eb5c663ec60069a98b6e2b048196b3e23721f12b08d9'],True
a77e4fe2_batch0,"[""{\n\t\""neutral\"": 85,\n\t\""anger\"": 0,\n\t\""factual\"": 70,\n\t\""stressed\"": 5,\n\t\""optimism\"": 55,\n\t\""confidence\"": 80\n}""]",,5.218207836151123,752,128,214,low,[],['resp_0f15079b508d07170069a98b6e2a6c8197b06ab810bcb92a3e'],True
686809bf_batch0,"[""{\n\t\""stressed\"": 5,\n\t\""neutral\"": 90,\n\t\""factual\"": 85,\n\t\""optimism\"": 10,\n\t\""anger\"": 0,\n\t\""confidence\"": 80\n}""]",,5.226633071899414,722,128,236,low,[],['resp_0318354a84e1ac470069a98b6e27e0819786a1e914b72f3119'],True
8d7ae3db_batch0,"[""{\n\t\""confidence\"": 80,\n\t\""neutral\"": 85,\n\t\""optimism\"": 70,\n\t\""factual\"": 88,\n\t\""stressed\"": 30,\n\t\""anger\"": 2\n}""]",,5.421925783157349,747,192,296,low,[],['resp_0641c866011e49890069a98b6e30d8819abe4547c49cae5285'],True
fd5c9753_batch0,"[""{\n\t\""confidence\"": 90,\n\t\""stressed\"": 5,\n\t\""anger\"": 0,\n\t\""neutral\"": 85,\n\t\""factual\"": 95,\n\t\""optimism\"": 18\n}""]",,5.42629599571228,777,192,302,low,[],['resp_07f6da85c16dc1280069a98b6e64bc81959516c1a0d44ce090'],True
af4fe60d_batch0,"[""{\n\t\""confidence\"": 85,\n\t\""stressed\"": 10,\n\t\""anger\"": 0,\n\t\""optimism\"": 80,\n\t\""neutral\"": 80,\n\t\""factual\"": 75\n}""]",,5.438349008560181,745,192,261,low,[],['resp_01ace669662442950069a98b6e2960819aa39b70135b4ad44c'],True
73105f18_batch0,"[""{\n\t\""optimism\"": 30,\n\t\""confidence\"": 65,\n\t\""neutral\"": 80,\n\t\""stressed\"": 10,\n\t\""factual\"": 5,\n\t\""anger\"": 1\n}""]",,5.44794487953186,768,192,271,low,[],['resp_048d1183cd4ba5340069a98b6e256481978470de7b8aa4a611'],True
dcd1e967_batch0,"[""{\n\t\""confidence\"": 65,\n\t\""stressed\"": 5,\n\t\""factual\"": 70,\n\t\""neutral\"": 80,\n\t\""anger\"": 0,\n\t\""optimism\"": 78\n}""]",,5.502246141433716,751,192,257,low,[],['resp_04659018d40f47df0069a98b6ee28c8199bad09b8078d2a364'],True
b774bc31_batch0,"[""{\n  \""neutral\"": 75,\n  \""stressed\"": 3,\n  \""factual\"": 20,\n  \""confidence\"": 90,\n  \""optimism\"": 55,\n  \""anger\"": 0\n}""]",,5.661765813827515,728,192,254,low,[],['resp_05fd2e307a21871d0069a98b6e30908194b3ea8d5daac06a2e'],True
8aa99d99_batch0,"[""{\n\t\""stressed\"": 5,\n\t\""confidence\"": 80,\n\t\""factual\"": 5,\n\t\""neutral\"": 85,\n\t\""anger\"": 0,\n\t\""optimism\"": 30\n}""]",,5.661839962005615,724,192,265,low,[],['resp_05ec85e259b9a3640069a98b6e23f481968abe169b616bc539'],True
