Letter,Language,Frequency (%)
a,Czech,8.42
a,Danish,6.03
a,Dutch,7.49
a,English,8.17
a,Esperanto,12.12
a,Finnish,12.22
a,French,8.04
a,German,6.52
a,Icelandic,10.11
a,Italian,12.15
a,Polish,9.31
a,Portuguese,15.03
a,Spanish,11.53
a,Swedish,9.38
a,Turkish,12.32
b,Czech,1.22
b,Danish,2
b,Dutch,1.58
b,English,1.49
b,Esperanto,1.38
b,Finnish,0.28
b,French,0.9
b,German,2.29
b,Icelandic,1.04
b,Italian,1.33
b,Polish,1.47
b,Portuguese,1.04
b,Spanish,2.22
b,Swedish,1.54
b,Turkish,3.24
c,Czech,1.14
c,Danish,0.57
c,Dutch,1.24
c,English,3.18
c,Esperanto,1.18
c,Finnish,0.28
c,French,3.26
c,German,3.13
c,Icelandic,0
c,Italian,4.5
c,Polish,4.36
c,Portuguese,4.28
c,Spanish,4.02
c,Swedish,1.49
c,Turkish,1.36
d,Czech,3.48
d,Danish,6.26
d,Dutch,6.33
d,English,4.25
d,Esperanto,3.04
d,Finnish,1.04
d,French,4.07
d,German,5.08
d,Icelandic,1.58
d,Italian,4.14
d,Polish,3.25
d,Portuguese,5.39
d,Spanish,5.01
d,Swedish,4.7
d,Turkish,5.11
e,Czech,7.56
e,Danish,15.45
e,Dutch,19.31
e,English,12.7
e,Esperanto,9
e,Finnish,8.37
e,French,15.12
e,German,16.4
e,Icelandic,6.42
e,Italian,12.19
e,Polish,8.06
e,Portuguese,12.57
e,Spanish,12.18
e,Swedish,10.15
e,Turkish,9.31
f,Czech,0.08
f,Danish,2.41
f,Dutch,1.21
f,English,2.23
f,Esperanto,1.04
f,Finnish,0.19
f,French,1.07
f,German,2.06
f,Icelandic,3.01
f,Italian,1.15
f,Polish,0.3
f,Portuguese,1.02
f,Spanish,1.09
f,Swedish,2.03
f,Turkish,0.46
g,Czech,0.09
g,Danish,4.08
g,Dutch,3.4
g,English,2.02
g,Esperanto,1.17
g,Finnish,0.39
g,French,1.27
g,German,3.01
g,Icelandic,4.24
g,Italian,2.04
g,Polish,1.42
g,Portuguese,1.3
g,Spanish,2.17
g,Swedish,3.26
g,Turkish,1.25
h,Czech,1.36
h,Danish,2.02
h,Dutch,2.38
h,English,6.09
h,Esperanto,0.38
h,Finnish,2.25
h,French,1.14
h,German,4.58
h,Icelandic,2.27
h,Italian,1.04
h,Polish,1.08
h,Portuguese,1.18
h,Spanish,0.7
h,Swedish,2.09
h,Turkish,1.21
i,Czech,6.07
i,Danish,6
i,Dutch,6.5
i,English,7.37
i,Esperanto,10.01
i,Finnish,11.22
i,French,7.53
i,German,6.55
i,Icelandic,7.58
i,Italian,10.14
i,Polish,8.21
i,Portuguese,6.19
i,Spanish,6.25
i,Swedish,6.22
i,Turkish,8.6
j,Czech,1.43
j,Danish,1.13
j,Dutch,1.46
j,English,0.15
j,Esperanto,3.5
j,Finnish,2.04
j,French,1.01
j,German,0.27
j,Icelandic,1.14
j,Italian,0.01
