Election_Type,State_Name,Assembly_No,Constituency_No,Candidate,Gender,Party,Votes,Winner,Constituency_Name,Idx,Party_Type,Party_Expanded,NumberOfSeats,ElectorsTotal,ElectorsWhoVoted,VotesValid,PollingDate,Year,Runner up.PARTY,Runner up.CANDIDATE,Runner up.VOTES,Winner 1.PARTY,Winner 1.CANDIDATE,Winner 1.VOTES,Winner 2.PARTY,Winner 2.CANDIDATE,Winner 2.VOTES,Winner 3.PARTY,Winner 3.CANDIDATE,Winner 3.VOTES
AE,Ajmer,1,1,ARJANDAS,M,PP,5549.0,True,AJMER- I (SOUTH WEST) ,1,STATE PARTIES,PURSHARATHI PANCHAYAT,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
AE,Ajmer,1,1,PARASRAM,M,PP,4672.0,True,AJMER- I (SOUTH WEST) ,2,STATE PARTIES,PURSHARATHI PANCHAYAT,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
AE,Ajmer,1,1,POORAN CHAND,M,INC,4588.0,False,AJMER- I (SOUTH WEST) ,3,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
AE,Ajmer,1,1,VIDYA RAM,M,INC,4085.0,False,AJMER- I (SOUTH WEST) ,4,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
AE,Ajmer,1,1,D . VABLE,M,IND,1927.0,False,AJMER- I (SOUTH WEST) ,5,INDEPENDENTS,INDEPENDENT,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
AE,Ajmer,1,1,MITHANLAL JAYNT,M,BJS,1673.0,False,AJMER- I (SOUTH WEST) ,6,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
AE,Ajmer,1,1,BRAHM DEO,M,IND,1088.0,False,AJMER- I (SOUTH WEST) ,7,INDEPENDENTS,INDEPENDENT,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
AE,Ajmer,1,1,BALDEO PRASAD,M,SP,724.0,False,AJMER- I (SOUTH WEST) ,8,NATIONAL PARTIES,SOCIALIST PARTY,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
AE,Ajmer,1,1,KHILOOMAL,M,IND,566.0,False,AJMER- I (SOUTH WEST) ,9,INDEPENDENTS,INDEPENDENT,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
AE,Ajmer,1,1,KODUMAL,M,IND,422.0,False,AJMER- I (SOUTH WEST) ,10,INDEPENDENTS,INDEPENDENT,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
AE,Ajmer,1,1,RAM CHAND,M,IND,145.0,False,AJMER- I (SOUTH WEST) ,11,INDEPENDENTS,INDEPENDENT,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
AE,Ajmer,1,1,RANGRAJ MEHTA,M,IND,132.0,False,AJMER- I (SOUTH WEST) ,12,INDEPENDENTS,INDEPENDENT,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
