Name,Court,Position,Biodata,DOB,City_Village_Birth,District_Birth,State_Birth,Start_Date_Appointment,End_Date_Appointment,Reason_Leaving_Appointment,Sex_Source,Sex,ID,Source_of_Recruitment,Enrollment_Year,LLB_Institutition,Other_Bachelors_Institution,Other_Bachelors_Degree,Other_Masters_Degree,Other_Masters_Institution,LLM_Institutition,PhD_Instituition,PhD_Subject,Processed_Name_For_Merges,Image,Duplicated_Jud
"A. A. SAYED, J.",Bombay High Court,Judge,"He has appeared in Public Interest Litigation matters relating to mangroves, garbage dumping, free/concessional medical treatment for poor in charitable hospitals, bio medical waste, malnutrition, amongst others on behalf of Union of India/State Government. He was on the panel of several Public Undertakings and has also appeared in Arbitrations on their behalf. He was also a Notary Public, Government of India. He is a keen sports enthusiast.",01.21.1961,,,,04.11.2007,1.20.2023,,,M,1170,,,Law (not given),,,,,,,,"A. A. SAYED, J.",,
"A. G. GHAROTE, J.",Bombay High Court,Judge,Data Not Available.,17.05.1963,,,,23.08.2019,16.05.2025,,,M,1209,,,Law (not given),,,,,,,,"A. G. GHAROTE, J.",,
A. K. Ganguly,Patna High Court,Judge,,,,,,04.04.1994,03.02.2012,,,M,3191,,,,,,,,,,,A. K. GANGULY,,
"A. L. PANSARE, J.",Bombay High Court,Additional Judge,"Born on 14th November 1965, Graduated in Science from Nagpur University and thereafter completed Diploma in Business Management, Masters Degree in Business Administration and Bachelors Degree in Law. Started practicing in Nagpur District Court and High Court, Bench at Nagpur, amongst other Courts. Was Panel Advocate with Municipal Council, Kalmeshwar, Dist.Nagpur, Municipal Council, Mohopa Dist. Nagpur, Municipal Council, Varora, Dist. Chandrapur and Bank of India, Branch Kalmeshwar, Dist. Nagpur. Joined Judicial Service on 2nd May 2008 as District Judge and was posted as Judge of City Civil & Sessions Court (Greater Mumbai). Has worked as District Judge at Akola and Beed. Was on deputation as Joint Charity Commissioner at Amravati, along with charge of Joint Charity Commissioner, Nagpur. Has also worked as Special Judge under the Prevention of Corruption Act, 1988, Maharashtra Control of Organized Crime Act,1999, and National Investigation Agency Act, 2008. Has worked as Principal District Judge at Beed, Amravati and Thane. Has also worked as Registrar in the Hon'ble Supreme Court of India. Has been elevated as Additional Judge of the High Court of Bombay on 21.10.2021.",14.11.1965,,,,21.10.2021,20.10.2023,,,M,1227,SERVICE,,Law (not given),Nagpur University,B. Sc.,MBA,,,,,"A. L. PANSARE, J.",,
A. N. Trivedi,Patna High Court,Judge,,,,,,,,,,M,3192,,,,,,,,,,,A. N. TRIVEDI,,
"A. S. KILOR, J.",Bombay High Court,Additional Judge,"Born on 3rd September 1966 and hails from Walgaon in Amravati District of Vidarbha region Maharashtra. He completed his schooling from Hadas High School and thereafter did B. Com from DNC college, Nagpur. He did LL.B from Dr. Babasaheb Ambedkar Law College of Nagpur University. Initially he was an intern at the office of Adv. A. A. Bade and after completing LL.B in the year 1992, he joined the office of Adv Sanjay Jagtap. He conducted matters before High Court, Civil Court , Maharashtra Administrative Tribunal, College Tribunal, School Tribunal, Industrial Court, Labour Court, Co-operative Court, Consumer Court, revenue Tribunal and revenue authorities. In the year 2000, he was appointed as an Asst. Government Pleader and Addl. Public Prosecutor for Government of Maharashtra at Nagpur Bench of Bombay High Court. In the year 2005, he resigned from the said post. He was then appointed as 'A' panel counsel for the State of Maharashtra. He was the standing counsel for LIC, National Handloom Corporation, Khandelwal Ferro Alloys. He appeared as a special counsel for Nagpur University, Amravati University, State of Maharashtra and most of the Municipal Councils, Municipal Corporations and Agriculture Produce Market Committees of Vidarbha Region. He appeared in more than 30 important Public Interest Litigation on pro bono basis. He conducted many Election disputes relating to elections of Village panchayat, Zilla Parishad, Municipal Council, Municipal Corporation and Member of Legislative Assembly/ Council. He got elected as the President of a prestigious High Court Bar Association, Nagpur in 2017 and had also served as an Executive Member of the Association from the year 1996 to 2000. Being the President of the Bar Association he carried out major development works. He was elevated as an Additional Judge of the Bombay High Court on 23rd August 2019.",03.09.1966,Walgaon,Amravati,Maharashtra,23.08.2019,02.09.2028,,,M,1211,BAR,,Dr. Babasaheb Ambedkar Law College of Nagpur University,"DNC college,Nagpur",B. Com.,,,,,,"A. S. KILOR, J.",,
A.B.N. Sinha,Patna High Court,Judge,,,,,,06.05.1963,15.09.1970,,,M,3193,,,,,,,,,,,A.B.N. SINHA,,
A.K. Ganguly,Madras High Court,Chief Justice,,,,,,,,,,M,3191,,,,,,,,,,,A.K. GANGULY,,
"A.K. MENON, J.",Bombay High Court,Judge,"Born in Mumbai, Maharashtra on 12th July 1960. Graduated from Mumbai University with a Bachelor of Arts degree in philosophy and secured a Bachelor of Laws degree from Mumbai University. Enrolled with the Bar Council of Maharashtra and Goa on 12th July 1984 and commenced practice with his father Late Shri. C. Achyutha Menon Advocate. He has extensively dealt with litigation, including trials on the Original Side and in arbitration. His practice included non litigation work, negotiation and advising in diverse transactional documentation in the banking, property, media and entertainment industry. Has a keen interest in music, travel and technology. He was appointed on 3rd March 2014.",12.07.1960,,,,03.03.2014,11.07.2022,,,M,1190,,1984,Mumbai University,University of Mumbai,B. A.Phil,,,,,,"A.K. MENON, J.",,
"A.S. CHANDURKAR, J.",Bombay High Court,Additional Judge,"Born on 7th April 1965. Completed schooling at St. Vincents' High School, Pune. Graduated from Ness Wadia College, Pune and also I. L. S. Law College, Pune. After obtaining Law Degree, joined the Bar on 21st July 1988. Commenced practise in the Chambers of Shri B. N. Naik, Sr. Advocate, Mumbai who was later elevated to the Bench. Shifted to Nagpur in 1992 and practised in various Courts. Handled matters of various nature. Has authored two books on ""The Maharashtra Municipal Council Nagar Panchayats & Industrial Townships Act, 1965 and The Maharashtra Rent Control Act, 1999. Elevated as Additional Judge of the Bombay High Court on 21st June 2013.",07.04.1965,,,,21.06.2013,06.04.2027,,,M,1181,,1988,"I. L. S. Law College, Pune","Ness Wadia College, Pune",,,,,,,"A.S. CHANDURKAR, J.",,
"A.S. GADKARI, J.",Bombay High Court,Judge,"Born on - 14 June, 1965 at Mumbai in the family of Advocates and brought up at Dombivili, in District Thane. Did his law graduation from University of Mumbai and enrolled as an Advocate with the Bar Council of Maharashtra and Goa on 26 February 1992. Joined the chamber of Shri. C.J. Sawant, Senior Advocate and Ex-Advocate General of Maharashtra. Got vast experience in Criminal, Civil and Constitutional matters as an Associate of the said chamber. </font></font> <font face'Liberation Serif, Times New Roman, serif'font size=""3"">Was appointed as an Assistant Government Pleader and Additional Public Prosecutor for High Court at Mumbai on 25 July 2000 by the Government of Maharashtra and subsequently on 16 July 2007 came to be appointed as Additional Government Pleader and Additional Public Prosecutor for High Court, at Mumbai. Was appointed as an Additional Public Prosecutor for Union of India on 26 April 2009 and resigned from the said Post on 5 June 2013. </font></font> <font face'Liberation Serif, Times New Roman, serif'font size=""3"">Sworn as a Judge of the Bombay High Court on 6 January 2014. </font></font>",14.06.1965,Dombivili,Thane,Maharashtra,06.01.2014,13.06.2027,,,M,1186,,1992,Bombay University,,,,,,,,"A.S. GADKARI, J.",,
"A.W.E. Wort, Barrister-at-law",Patna High Court,Judge,,,,,,,,,,M,3194,,,,,,,,,,,"A.W.E. WORT, BARRISTER-AT-LAW",,
